state,zone,survey_year,pct_no_education_women,pct_secondary_plus_women,pct_watches_tv_weekly_women,pct_internet_ever_used_women,pct_currently_employed_women,pct_any_health_insurance_women,notes
NATIONAL,National,2024,34.3,36.7,29.8,27.7,57.5,3.3,National estimate
ZONE: North Central,North Central,2024,35.3,37.3,27.9,24.4,60.8,2.8,Zonal aggregate
ZONE: North East,North East,2024,56.0,21.9,16.0,11.9,49.1,2.0,Zonal aggregate
ZONE: North West,North West,2024,55.3,21.0,15.6,13.9,46.3,3.1,Zonal aggregate
ZONE: South East,South East,2024,3.8,57.1,41.3,40.4,68.0,2.9,Zonal aggregate
ZONE: South South,South South,2024,2.6,63.8,53.0,49.4,67.8,3.5,Zonal aggregate
ZONE: South West,South West,2024,5.5,68.1,55.2,58.0,75.1,5.8,Zonal aggregate
FCT-Abuja,North Central,2024,8.0,70.9,41.8,60.1,63.2,7.9,State-level estimate
Benue,North Central,2024,11.6,37.9,28.9,27.4,68.9,2.5,State-level estimate
Kogi,North Central,2024,24.7,40.0,26.5,23.2,67.3,3.5,State-level estimate
Kwara,North Central,2024,33.9,49.2,43.2,38.7,72.3,1.5,State-level estimate
Nasarawa,North Central,2024,34.3,42.1,38.3,28.4,64.8,4.3,State-level estimate
Niger,North Central,2024,73.0,17.2,12.9,5.8,54.0,1.2,State-level estimate
Plateau,North Central,2024,20.6,32.4,23.5,15.2,47.6,1.5,State-level estimate
Adamawa,North East,2024,33.6,26.7,13.7,16.2,65.4,1.1,State-level estimate
Bauchi,North East,2024,63.1,18.7,13.6,13.5,25.2,1.8,State-level estimate
Borno,North East,2024,57.8,22.8,11.4,7.9,63.4,1.7,State-level estimate
Gombe,North East,2024,53.0,29.7,28.0,12.7,51.6,5.1,State-level estimate
Taraba,North East,2024,51.6,24.2,19.4,8.7,59.7,0.9,State-level estimate
Yobe,North East,2024,68.0,15.7,17.7,11.0,52.3,2.4,State-level estimate
Jigawa,North West,2024,70.5,13.8,7.9,4.3,46.1,1.8,State-level estimate
Kaduna,North West,2024,35.8,26.1,29.1,24.5,50.8,4.3,State-level estimate
Kano,North West,2024,40.2,29.4,19.4,22.1,45.1,4.9,State-level estimate
Katsina,North West,2024,53.0,23.2,10.1,6.2,62.3,2.7,State-level estimate
Kebbi,North West,2024,85.8,6.7,4.9,3.0,20.7,1.1,State-level estimate
Sokoto,North West,2024,83.9,9.3,6.8,5.8,30.9,1.0,State-level estimate
Zamfara,North West,2024,76.0,11.6,10.2,5.5,52.6,0.2,State-level estimate
Abia,South East,2024,0.8,70.5,54.4,50.6,74.1,1.8,State-level estimate
Anambra,South East,2024,1.0,63.9,49.2,53.5,78.2,5.0,State-level estimate
Ebonyi,South East,2024,7.1,32.5,29.0,15.0,56.5,1.0,State-level estimate
Enugu,South East,2024,8.3,59.3,37.5,42.9,63.8,2.1,State-level estimate
Imo,South East,2024,0.5,73.8,44.8,53.7,72.5,4.5,State-level estimate
Akwa Ibom,South South,2024,0.6,59.4,45.6,50.5,74.8,2.7,State-level estimate
Bayelsa,South South,2024,4.9,65.9,38.8,52.7,61.1,10.1,State-level estimate
Cross River,South South,2024,3.3,53.9,46.9,27.1,69.6,2.8,State-level estimate
Delta,South South,2024,3.4,59.5,57.0,63.7,75.1,3.1,State-level estimate
Edo,South South,2024,1.6,68.4,48.0,,76.9,6.4,State-level estimate
Rivers,South South,2024,2.4,69.9,61.3,,55.7,1.2,State-level estimate
Ekiti,South West,2024,2.2,66.4,36.7,,66.5,2.7,State-level estimate
Lagos,South West,2024,3.0,77.0,71.8,,73.2,8.5,State-level estimate
Ogun,South West,2024,7.4,61.8,56.9,,74.6,4.8,State-level estimate
Ondo,South West,2024,,,44.0,,74.9,3.8,State-level estimate
Osun,South West,2024,,,59.2,,76.8,4.8,State-level estimate
Oyo,South West,2024,,,39.8,,79.3,5.7,State-level estimate
