state,zone,survey_year,pct_knows_any_modern_contraceptive,pct_mcpr_currently_married_women,pct_unmet_need_family_planning,pct_demand_satisfied_modern_methods,notes
NATIONAL,National,2024,95.2,19.5,21.0,36.0,National estimate
ZONE: North Central,North Central,2024,86.0,19.4,21.4,39.1,Zonal aggregate
ZONE: North East,North East,2024,94.7,13.9,22.9,34.9,Zonal aggregate
ZONE: North West,North West,2024,95.6,10.3,20.3,30.2,Zonal aggregate
ZONE: South East,South East,2024,98.6,29.8,21.4,29.5,Zonal aggregate
ZONE: South South,South South,2024,99.6,30.8,21.8,35.5,Zonal aggregate
ZONE: South West,South West,2024,98.3,43.9,19.1,49.9,Zonal aggregate
FCT-Abuja,North Central,2024,99.6,21.3,26.5,40.3,State-level estimate
Benue,North Central,2024,99.5,31.3,20.2,44.7,State-level estimate
Kogi,North Central,2024,74.0,13.1,21.8,30.0,State-level estimate
Kwara,North Central,2024,59.4,11.0,27.1,26.0,State-level estimate
Nasarawa,North Central,2024,98.7,25.5,21.3,47.9,State-level estimate
Niger,North Central,2024,78.3,10.3,21.8,25.8,State-level estimate
Plateau,North Central,2024,97.3,31.1,14.1,56.6,State-level estimate
Adamawa,North East,2024,95.4,20.4,24.5,39.0,State-level estimate
Bauchi,North East,2024,97.3,11.3,22.2,31.8,State-level estimate
Borno,North East,2024,93.1,9.5,26.3,25.9,State-level estimate
Gombe,North East,2024,99.1,30.9,13.2,68.7,State-level estimate
Taraba,North East,2024,90.6,11.5,24.4,30.3,State-level estimate
Yobe,North East,2024,90.3,9.0,24.6,22.7,State-level estimate
Jigawa,North West,2024,97.8,4.4,14.1,19.1,State-level estimate
Kaduna,North West,2024,96.0,14.2,25.0,33.4,State-level estimate
Kano,North West,2024,97.3,11.1,26.0,28.5,State-level estimate
Katsina,North West,2024,94.9,7.7,17.1,27.0,State-level estimate
Kebbi,North West,2024,93.5,3.3,20.5,12.7,State-level estimate
Sokoto,North West,2024,92.0,,,,State-level estimate
Zamfara,North West,2024,94.3,,,,State-level estimate
Abia,South East,2024,98.6,29.8,,,State-level estimate
Anambra,South East,2024,100.0,,,,State-level estimate
Ebonyi,South East,2024,98.1,,,,State-level estimate
Enugu,South East,2024,95.9,,,,State-level estimate
Imo,South East,2024,99.8,,,,State-level estimate
Akwa Ibom,South South,2024,100.0,,,,State-level estimate
Bayelsa,South South,2024,99.7,,,,State-level estimate
Cross River,South South,2024,100.0,,,,State-level estimate
Delta,South South,2024,98.9,,,,State-level estimate
Edo,South South,2024,100.0,,,,State-level estimate
Rivers,South South,2024,99.6,,,,State-level estimate
Ekiti,South West,2024,100.0,,,,State-level estimate
Lagos,South West,2024,99.3,,,,State-level estimate
Ogun,South West,2024,99.6,,,,State-level estimate
Ondo,South West,2024,97.8,,,,State-level estimate
Osun,South West,2024,99.8,,,,State-level estimate
Oyo,South West,2024,95.2,,,,State-level estimate
