state,pdp,acn,ppa,lp,cpc,anpp,dpp,apga,otherparties,totvotes,winner
Abia,641158,18004,43778,15720,-,-,-,-,60118,778778,(PDP) ORJI THEODORE AHAMEFULE
Akwa Ibom State,957585,163449,-,-,15660,-,-,-,11739,1148433,(PDP) GODSWILL OBOT AKPABIO
Anambra(2010),59355,60240,9595,26106,,,,97843,31408,284547,(APGA) PETER OBI
Bauchi State,771503,157237,-,-,238426,102093,-,-,4408,1273667,(PDP) MALLAM ISA YAGUDA
Benue State,590756,499319,-,-,-,9234,-,-,11297,1110606,(PDP) RT. HON. GABRIEL T. SUSWAN
Borno State,450140,6261,-,-,51378,531147,-,-,11870,1050796,(ANPP) KASHIM SHETTIMA
Delta State,525793,15526,-,-,-,7893,433834,-,34188,1017234,(PDP) DR. EMMANUEL E. UDUAGHAN
Ebonyi State,287217,3618,2469,-,-,125248,-,29055,3852,451459,(PDP) MARTIN NWANCHO ELECHI
Enugu State,419790,5086,-,30135,-,-,-,2658,33469,491138,(PDP) SULLIVAN IHEANACHO CHIME
Gombe State,596481,-,-,-,91781,84959,-,-,7172,780393,(PDP) IBRAHIM HASSAN DANKWAMBO
Imo State,290496,107068,-,-,-,-,-,336859,16541,750964,(APGA) OKOROCHA ROCHAS E. ANAYO
Jigawa State,676307,343177,-,-,56911,12124,-,-,6030,1094549,(PDP) SULE LAMIDO
Kaduna State,1334319,20094,-,-,1133564,33142,-,-,28347,2549466,(PDP) PATRICK IBRAHIM YAKOWA
Kano State,1108345,54015,-,-,175143,1048317,-,-,23872,2409692,(PDP) MOHAMMED RABIU M.K.
Katsina State,1029912,19990,-,-,555769,-,-,-,16392,1622063,(PDP) BARR. IBRAHIM SHEHU SHEMA
Kebbi State,559424,67710,-,-,326482,-,-,-,11485,965101,(PDP) SAIDU USMAN NASAALU
Kogi State,300372,159913,,,5724,9642,,,619,518949,(PDP) IDRIS WADA
Kwara State,254969,152580,-,-,10042,-,5640,-,80871,504102,(PDP) ALH. ABDULLAHI AHMED
Lagos State,300450,1509113,-,10221,-,-,-,-,42729,1862513,(ACN) BABATUNDE RAJI FASHOLA
Nasarawa State,320398,-,-,18815,324823,4498,-,-,5480,674014,(CPC) UMARU TANKO AL-MAKURA
Niger State,543205,49060,-,-,244770,68268,-,-,526,905829,(PDP) DR. MUAZU BABANGIDA ALIYU
Ogun State,188698,377487,-,4109,-,-,-,-,157010,727304,(ACN) SEN. IBIKUNLE OYELAJA AMOSUN
Oyo State,387132,420852,-,-,15797,-,-,-,301309,1125090,(ACN) SEN. ABIOLA ADEYEMI AJIMOBI
Plateau State,823536,28723,-,494975,-,42897,-,-,9287,1399418,(PDP) JONAH DAVID JANG
Rivers State,1178529,60240,-,-,-,-,-,112528,22172,1373469,(PDP) CHIBUIKE ROTIMI AMAECHI
Taraba State,361176,154665,-,16486,176342,3788,-,-,4312,716769,(PDP) DANBABA DANFULANI SUNTAI
Yobe State,195449,4939,-,-,15462,436998,-,-,3280,656128,(ANPP) ALH. IBRAHIM GAIDAM
Zamfara State,460656,-,-,-,-,514962,-,-,13760,989378,(ANPP) ABDUL-AZIZ YARI ABUBAKAR
