state,zone,survey_year,pct_clean_fuel_cooking,pct_access_electricity_lighting,pct_wealth_quintile_lowest,pct_wealth_quintile_highest,gini_coefficient,pct_birth_registered_civil_authority,notes
NATIONAL,National,2024,22.0,97.9,20.0,20.0,0.35,39.7,"Tables 2.4, 2.6, 2.10; national electricity from text (55%)"
ZONE: North Central,North Central,2024,16.3,96.4,15.1,18.1,0.32,36.5,Zonal aggregate
ZONE: North East,North East,2024,2.8,98.0,37.9,4.1,0.28,28.0,Zonal aggregate
ZONE: North West,North West,2024,5.4,99.2,29.6,6.4,0.26,32.7,Zonal aggregate
ZONE: South East,South East,2024,30.1,96.5,5.0,30.0,0.27,57.3,Zonal aggregate
ZONE: South South,South South,2024,49.7,96.6,1.7,40.5,0.18,59.2,Zonal aggregate
ZONE: South West,South West,2024,67.4,98.7,1.7,54.9,0.17,67.7,Zonal aggregate
FCT-Abuja,North Central,2024,60.5,99.4,0.3,59.0,0.14,70.6,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Benue,North Central,2024,9.1,96.8,13.6,12.8,0.21,37.8,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Kogi,North Central,2024,9.9,96.6,17.6,10.6,0.32,27.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Kwara,North Central,2024,25.6,97.1,22.8,25.3,0.32,36.6,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Nasarawa,North Central,2024,22.6,89.1,4.3,22.5,0.23,51.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Niger,North Central,2024,4.7,96.7,18.0,8.8,0.27,27.3,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Plateau,North Central,2024,5.6,99.3,23.4,7.5,0.27,27.0,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Adamawa,North East,2024,1.4,99.5,34.3,3.1,0.24,39.3,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Bauchi,North East,2024,3.7,98.4,37.9,5.1,0.29,24.8,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Borno,North East,2024,1.2,99.5,37.2,2.7,0.23,28.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Gombe,North East,2024,6.5,98.9,41.4,8.2,0.33,33.7,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Taraba,North East,2024,1.7,98.9,34.8,3.8,0.24,31.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Yobe,North East,2024,2.5,93.0,42.1,2.2,0.27,19.4,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Jigawa,North West,2024,1.4,99.5,60.1,1.5,0.27,15.7,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Kaduna,North West,2024,7.7,99.5,10.5,9.9,0.22,25.7,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Kano,North West,2024,9.4,99.7,17.5,11.3,0.25,50.7,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Katsina,North West,2024,3.5,99.0,24.4,4.1,0.25,40.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Kebbi,North West,2024,1.2,97.6,68.4,1.4,0.27,18.8,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Sokoto,North West,2024,3.8,98.3,51.1,4.3,0.26,19.0,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Zamfara,North West,2024,2.0,99.6,22.5,1.9,0.17,29.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Abia,South East,2024,42.2,99.5,0.3,38.0,0.16,55.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Anambra,South East,2024,44.8,99.0,0.8,51.4,0.13,62.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Ebonyi,South East,2024,6.3,98.0,17.4,4.9,0.3,43.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Enugu,South East,2024,27.1,95.2,0.7,22.7,0.15,80.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Imo,South East,2024,38.4,91.2,0.0,38.5,0.16,58.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Akwa Ibom,South South,2024,26.4,97.5,1.5,16.9,0.16,48.0,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Bayelsa,South South,2024,52.2,96.7,2.7,35.0,0.19,49.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Cross River,South South,2024,22.0,97.5,3.1,17.0,0.21,44.3,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Delta,South South,2024,64.9,95.3,2.6,50.7,0.13,62.4,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Edo,South South,2024,63.7,94.0,0.3,58.1,0.12,62.5,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Rivers,South South,2024,53.1,98.2,1.0,46.7,0.15,69.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Ekiti,South West,2024,28.5,99.2,1.2,29.3,0.21,57.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Lagos,South West,2024,92.2,100.0,0.0,86.4,0.08,78.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Ogun,South West,2024,75.2,98.9,1.7,51.4,0.14,53.9,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Ondo,South West,2024,52.7,97.6,0.0,43.3,0.16,77.6,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Osun,South West,2024,45.0,99.3,0.2,40.7,0.12,81.1,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
Oyo,South West,2024,57.6,97.3,6.0,38.4,0.18,62.2,"Tables 2.4 (clean fuels & lighting), 2.6 (wealth), 2.10 (birth registration)"
