state,zone,survey_year,pct_women_any_functional_difficulty,pct_women_difficulty_seeing,pct_women_difficulty_hearing,pct_women_difficulty_walking,notes
NATIONAL,National,2024,14.5,10.1,2.4,6.4,National estimate
ZONE: North Central,North Central,2024,14.3,10.7,2.5,8.2,Zonal aggregate
ZONE: North East,North East,2024,10.0,6.8,2.6,5.3,Zonal aggregate
ZONE: North West,North West,2024,7.1,5.9,2.4,3.5,Zonal aggregate
ZONE: South East,South East,2024,16.9,13.5,2.6,11.7,Zonal aggregate
ZONE: South South,South South,2024,22.2,17.4,2.5,9.9,Zonal aggregate
ZONE: South West,South West,2024,16.6,13.5,1.6,5.4,Zonal aggregate
FCT-Abuja,North Central,2024,19.7,16.3,1.6,6.3,State-level estimate
Benue,North Central,2024,13.6,12.9,4.5,8.0,State-level estimate
Kogi,North Central,2024,18.7,14.0,3.1,15.0,State-level estimate
Kwara,North Central,2024,10.8,9.0,0.7,2.5,State-level estimate
Nasarawa,North Central,2024,7.6,5.1,1.2,3.9,State-level estimate
Niger,North Central,2024,11.5,6.6,1.1,7.7,State-level estimate
Plateau,North Central,2024,21.4,15.6,5.3,14.3,State-level estimate
Adamawa,North East,2024,16.5,7.2,4.3,10.3,State-level estimate
Bauchi,North East,2024,9.8,7.2,2.4,2.7,State-level estimate
Borno,North East,2024,4.1,2.2,1.1,3.2,State-level estimate
Gombe,North East,2024,7.5,6.4,1.5,2.9,State-level estimate
Taraba,North East,2024,,15.3,4.5,12.9,State-level estimate
Yobe,North East,2024,,,,,State-level estimate
Jigawa,North West,2024,8.5,5.5,2.1,2.7,State-level estimate
Kaduna,North West,2024,14.0,12.9,4.0,5.0,State-level estimate
Kano,North West,2024,8.6,7.8,2.2,5.2,State-level estimate
Katsina,North West,2024,5.8,5.7,3.0,4.4,State-level estimate
Kebbi,North West,2024,10.7,6.9,4.0,7.0,State-level estimate
Sokoto,North West,2024,5.9,3.3,1.3,2.3,State-level estimate
Zamfara,North West,2024,7.7,5.3,2.2,4.9,State-level estimate
Abia,South East,2024,13.9,15.5,2.5,11.3,State-level estimate
Anambra,South East,2024,7.4,6.9,1.2,3.5,State-level estimate
Ebonyi,South East,2024,5.2,4.2,1.7,5.3,State-level estimate
Enugu,South East,2024,11.2,11.7,3.0,7.2,State-level estimate
Imo,South East,2024,33.6,25.3,4.2,16.7,State-level estimate
Akwa Ibom,South South,2024,24.6,20.1,1.3,11.5,State-level estimate
Bayelsa,South South,2024,12.1,9.3,1.7,4.0,State-level estimate
Cross River,South South,2024,12.4,11.0,0.9,3.7,State-level estimate
Delta,South South,2024,24.5,13.9,4.5,10.1,State-level estimate
Edo,South South,2024,17.3,11.3,2.1,6.4,State-level estimate
Rivers,South South,2024,15.9,13.3,2.1,4.2,State-level estimate
Ekiti,South West,2024,16.2,13.5,1.8,7.1,State-level estimate
Lagos,South West,2024,6.2,5.2,0.4,1.9,State-level estimate
Ogun,South West,2024,26.8,21.2,2.9,8.1,State-level estimate
Ondo,South West,2024,13.0,12.5,0.9,3.3,State-level estimate
Osun,South West,2024,9.1,9.0,0.4,2.9,State-level estimate
Oyo,South West,2024,8.4,7.0,0.5,2.6,State-level estimate
