state,zone,survey_year,pct_women_physical_violence_since_age15,pct_women_physical_violence_last_12mo,notes
NATIONAL,National,2024,18.8,8.7,National estimate
ZONE: North Central,North Central,2024,22.5,11.2,Zonal aggregate
ZONE: North East,North East,2024,12.8,6.7,Zonal aggregate
ZONE: North West,North West,2024,11.3,5.5,Zonal aggregate
ZONE: South East,South East,2024,28.4,11.7,Zonal aggregate
ZONE: South South,South South,2024,31.5,13.1,Zonal aggregate
ZONE: South West,South West,2024,21.2,9.3,Zonal aggregate
FCT-Abuja,North Central,2024,16.3,8.4,State-level estimate
Benue,North Central,2024,42.9,17.7,State-level estimate
Kogi,North Central,2024,27.9,8.1,State-level estimate
Kwara,North Central,2024,13.4,10.8,State-level estimate
Nasarawa,North Central,2024,35.2,14.2,State-level estimate
Niger,North Central,2024,3.8,3.6,State-level estimate
Plateau,North Central,2024,31.4,19.1,State-level estimate
Adamawa,North East,2024,12.6,6.3,State-level estimate
Bauchi,North East,2024,9.7,5.3,State-level estimate
Borno,North East,2024,13.5,9.3,State-level estimate
Gombe,North East,2024,18.1,3.7,State-level estimate
Taraba,North East,2024,14.4,12.2,State-level estimate
Yobe,North East,2024,13.3,4.3,State-level estimate
Jigawa,North West,2024,4.9,1.0,State-level estimate
Kaduna,North West,2024,10.4,3.9,State-level estimate
Kano,North West,2024,12.2,5.8,State-level estimate
Katsina,North West,2024,13.3,6.0,State-level estimate
Kebbi,North West,2024,1.4,1.4,State-level estimate
Sokoto,North West,2024,22.5,12.1,State-level estimate
Zamfara,North West,2024,9.7,7.7,State-level estimate
Abia,South East,2024,32.8,15.2,State-level estimate
Anambra,South East,2024,30.1,8.4,State-level estimate
Ebonyi,South East,2024,44.6,15.8,State-level estimate
Enugu,South East,2024,13.1,8.5,State-level estimate
Imo,South East,2024,13.4,9.8,State-level estimate
Akwa Ibom,South South,2024,38.4,12.2,State-level estimate
Bayelsa,South South,2024,47.1,24.0,State-level estimate
Cross River,South South,2024,40.6,15.0,State-level estimate
Delta,South South,2024,36.6,12.0,State-level estimate
Edo,South South,2024,28.2,9.8,State-level estimate
Rivers,South South,2024,19.1,12.6,State-level estimate
Ekiti,South West,2024,37.3,15.0,State-level estimate
Lagos,South West,2024,20.2,7.7,State-level estimate
Ogun,South West,2024,24.6,11.9,State-level estimate
Ondo,South West,2024,10.4,5.1,State-level estimate
Osun,South West,2024,15.5,9.7,State-level estimate
Oyo,South West,2024,23.5,9.2,State-level estimate
