state,winner,pdp,app,ad,regvoters,totvotes
Abia,Orji Kalu(PDP),370025,173873,-,1321895,543898
Adamawa,Boni Haruna(PDP),329595,283962,7103,1260956,627226
Akwa-Ibom,Victor Attah(PDP),843360,317373,7254,1450367,1167516
Anambra,Chinwoke Mbadinuju(PDP),879690,141326,8799,2221384,1026259
Bauchi,Ahmed Mu'azu(PDP),503447,386174,15168,1941913,906408
Bayelsa,Mr. Diyepreye Alamieyeseigha(PDP),324463,269233,2089,873000,595785
Benue,George Akume(PDP),584530,399728,3683,1806121,1007888
Borno,Mala Kachalla (APP),348800,388058,29884,1822987,766742
Cross River,Donald Duke(PDP),529335,457660,-,1142876,986995
Delta,James Ibori(PDP),558332,296902,77053,1794361,932287
Ebonyi,Sam Egwu(PDP),272559,213106,16983,902327,502648
Edo,Lucky Igbinedion(PDP),556871,249688,-,1380418,806559
Ekiti,Niyi Adebayo(AD),112606,81471,300118,1077195,494195
Enugu,Chimaroke Nnamani(PDP),602960,235000,1683,1466145,839643
Gombe,Abubakar Abu Hasheed(APP),267043,349284,40567,1108171,656894
Imo,Achike Udenwa(PDP),388680,379491,11486,1746673,779657
Jigawa,Ibrahim Samiru Turaki(APP),255773,279591,-,1567423,535364
Kaduna,Ahmed Makarfi(PDP),844525,512544,183728,2536702,1540797
Kano,Rabiu Kwankwaso(PDP),587619,311218,10119,3680990,908956
Katsina,Umaru Musa Yar'Adua(PDP),"586,681","286,945","8,157","2,151,112","881,783"
Kebbi,Adamu Aliero(APP),208552,259498,22824,1172054,490874
Kogi,Abubakar Audu(PDP),349055,608329,4692,1265230,962076
Kwara,Muhammed Lawal(PDP),174205,283136,130556,940400,587897
Lagos,Bola Tinubu(AD),184900,150870,841732,4091070,1177502
Nassarawa,Abdullahi Adamu(PDP),321319,290736,34231,949466,646286
Niger,Abdulkadir Kure(PDP),600695,158549,-,1572979,759244
Ogun,Segun Osoba(AD),122139,21730,247154,1559709,391023
Ondo,Ade Adefarati(AD),195682,22799,328053,1331617,546534
Osun,Bisi Akande(AD),123433,136105,295557,1496058,555095
Oyo,Lam Adesina(AD),219200,13268,454680,2363772,687148
Plateau,Joshua Dariye(PDP),484280,200016,29452,1311649,713748
Rivers,Peter Odili(PDP),770074,710280,51039,2202655,1531393
Sokoto,Atahiru Bafarwa(APP),"182,655","249,205","4,878","1,274,060",438187
Taraba,Jolly Nyame(PDP),467025,343898,5194,983227,816117
Yobe,Bukar Abba Ibrahim(APP),140948,150688,2936,874987,295443
Zamfara,Ahmed Sani(APP),161904,265529,3942,1112627,433102
